Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,154.3,-154.1,-90,top
C2,100n,C_0402_1005Metric,127.35,-79.4,180,top
C3,100n,C_0402_1005Metric,149.85,-63.95,0,top
C5,100n,C_0402_1005Metric,118.65,-63.9,0,top
C7,1u,C_0805_2012Metric,114.6,-148.7,0,top
C8,1u,C_0805_2012Metric,156.5,-153.3,-90,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,153.3,-67.625,0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,137.716666,-67.625,0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,122.133333,-67.625,0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,106.55,-67.625,0,top
D9,D_Schottky,Nexperia_CFP3_SOD-123W,110.5,-150.9,180,top
J1,Conn_01x04_Pin,PinSocket_1x04_P2.54mm_Vertical,126.1,-76.475,90,top
J2,USB_B_Micro,USB_Micro-B_Amphenol_10118193-0001LF_Horizontal,116.85,-158.8,0,top
R1,10k,R_0402_1005Metric,154.3,-151.85,-90,top
R2,10k,R_0402_1005Metric,151.1,-137.2,0,top
R3,10k,R_0402_1005Metric,119.95,-118,-90,top
R4,10k,R_0402_1005Metric,124.85,-128.6,180,top
R5,10k,R_0402_1005Metric,119.4,-134.6,-90,top
R6,10k,R_0402_1005Metric,102.5,-128.65,0,top
R7,10k,R_0402_1005Metric,149.25,-123.8,180,top
R8,10k,R_0402_1005Metric,144.4,-131.75,180,top
R9,27,R_0402_1005Metric,131.7,-148.9,0,top
R10,27,R_0402_1005Metric,131.75,-147.55,0,top
R11,10k,R_0402_1005Metric,149.8,-83.8,90,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,148.5,-139.7,0,top
SW2,SW_Push,SW_Push_1P1T_NO_6x6mm_H9.5mm,113.725,-116,0,top
SW3,SW_Push,SW_Push_1P1T_NO_6x6mm_H9.5mm,121.45,-124.35,0,top
SW4,SW_Push,SW_Push_1P1T_NO_6x6mm_H9.5mm,113.125,-132.6,0,top
SW5,SW_Push,SW_Push_1P1T_NO_6x6mm_H9.5mm,105.75,-124.3,0,top
SW6,SW_Push,SW_Push_1P1T_NO_6x6mm_H9.5mm,152.85,-119.45,0,top
SW7,SW_Push,SW_Push_1P1T_NO_6x6mm_H9.5mm,140.9,-127.35,0,top
SW8,SW_SPST,SW_SPDT_CK_JS102011SAQN,102.7,-142.85,-90,top
U1,ESP32-C3-WROOM-02,ESP32-C3-WROOM-02,143.45,-148.85,180,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,116.05,-142.55,90,top
